"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id"
5298.17250225481,6.14282879523082,0.347442316110378,17.68014001288,5.96478987169729e-70,1.15597627713493e-65,"SOX11"
498.816328496668,5.2841197635512,0.357099001069908,14.7973524084901,1.52362867502865e-49,1.47639618610276e-45,"PREX1"
655.816937800795,4.86092028091109,0.330384782553781,14.7129060949404,5.32697129052499e-49,3.44122345367914e-45,"SRL"
228.485399879546,2.78530954977995,0.198359200758538,14.0417461813152,8.65533733298903e-45,4.19351093783318e-41,"PARP9"
1599.91488456935,3.65744150936798,0.263407226219506,13.8851221428531,7.7967356928962e-44,3.02201475456657e-40,"VIM"
342.905902893815,3.28732391731678,0.245108425075194,13.4117132705997,5.16320942625226e-41,1.66771664467948e-37,"IQGAP2"
201.881062972892,3.45493649396783,0.258532733053361,13.363632732938,9.86306812812408e-41,2.73066086175778e-37,"PARP14"
82.967679214554,2.84703263863578,0.217634161848355,13.0817359483277,4.18765981418025e-39,1.01446058998516e-35,"VAT1L"
103.898400627417,3.79986203858642,0.293583073916949,12.9430555647815,2.57192934422876e-38,5.53822118790594e-35,"CLEC17A"
281.953662676236,3.10555285759322,0.240514553572042,12.9121203331382,3.84563757992648e-38,7.45284562989752e-35,"IRS2"
447.093071108864,2.53293096168635,0.1966999144199,12.8771330132826,6.05430426271592e-38,1.06665833283122e-34,"OSBPL10"
225.761447031135,3.61529962085672,0.287361097866273,12.5810335765739,2.68493803064458e-36,4.336174919491e-33,"ATP6V0E2"
130.534512691255,3.38152187982212,0.269998099155651,12.5242432831822,5.50135355503489e-36,8.20124860742893e-33,"CCDC120"
5354.24165026488,-0.685477533235944,0.0550389188334113,-12.4544149442817,1.32318239044712e-35,1.83166248049037e-32,"SIPA1L3"
173.144464481024,3.7301497937893,0.300425309004528,12.4162301976132,2.13381522079868e-35,2.7568892652719e-32,"GALNT14"
47.1822955201604,4.47097324729847,0.361562003164363,12.3657165525383,4.00622737180098e-35,4.65307018619969e-32,"FLJ38723"
75.7550080848805,2.22996825933365,0.180356594836385,12.3642180168494,4.08164051421025e-35,4.65307018619969e-32,"LY86"
322.584681841821,1.92796113245108,0.156395461263233,12.3274749591747,6.44343294350813e-35,6.93742946917709e-32,"DENND3"
42.2021038791178,4.44663493295731,0.361452520841018,12.3021273239733,8.82196440664843e-35,8.9984036947814e-32,"NTF3"
202.90943009168,3.00710346843173,0.246403958943241,12.2039576041244,2.96075939178197e-34,2.86897585063673e-31,"COL5A1"
122.860182559963,2.96878074296111,0.24541816160037,12.0968257752471,1.09774270743798e-33,1.01305969857848e-30,"C8orf12"
407.339588225536,2.74106562862738,0.227682008371267,12.0390084760571,2.21603091492446e-33,1.95212177869255e-30,"DTX3L"
243.256802412476,1.82770689150188,0.154561679884272,11.8250972224834,2.89567277695226e-32,2.43991906162326e-29,"SYT11"
81.1071297991853,2.38806143463645,0.20221611104839,11.8094518891474,3.48827832589989e-32,2.81678474816416e-29,"COL15A1"
161.90636826238,3.24898978171326,0.276814769838438,11.7370535669376,8.23040942546414e-32,6.2055276174607e-29,"AMOTL1"
96.6932700899437,2.03345101772262,0.173264864136877,11.7360841036774,8.32526924943128e-32,6.2055276174607e-29,"RIMS2"
229.900960663071,1.28252591003727,0.109402449170858,11.7230091260051,9.7158444109123e-32,6.97381721049927e-29,"DYRK3"
286.663208482176,1.20931272961934,0.104265401059916,11.5984086506742,4.1981194664216e-31,2.90569840211609e-28,"LHFP"
78.800604549442,1.61741426283782,0.139717068583838,11.5763541221686,5.4306937359808e-31,3.6292015380451e-28,"TRIM2"
1165.08732523524,2.42002820731207,0.209772375164218,11.5364485214871,8.64201060880707e-31,5.58273885328937e-28,"PNOC"
1176.21706388474,2.53164775606392,0.21993592023869,11.510842582314,1.16336155120335e-30,7.27288608461966e-28,"SLC2A5"
632.76432733075,2.77823161300821,0.244665792900867,11.3552106327094,6.98712991445023e-30,4.10335084066804e-27,"HOMER3"
42.658834505901,2.22851221155739,0.196244783542323,11.3557780814937,6.94191023740254e-30,4.10335084066804e-27,"LRRC46"
1360.57307631143,-0.572081775497012,0.0505534233729259,-11.316380520402,1.08874873762396e-29,6.2058678044566e-27,"SHANK2"
21.5769938364912,3.7213741309394,0.33034977588024,11.2649512808765,1.95460019559489e-29,1.08229005116083e-26,"VIM-AS1"
33.9178485935471,3.20734785237349,0.286131931949996,11.2093321095459,3.6695179735073e-29,1.94952259518745e-26,"MACROD2"
654.456930658566,3.58233753343663,0.319621123125171,11.208075043381,3.72199876274178e-29,1.94952259518745e-26,"MEX3A"
331.362048921225,1.7636284639571,0.158025111591135,11.1604316946803,6.36815912910448e-29,3.24776115584328e-26,"CD82"
781.326577669892,-1.37109445072651,0.123535502379984,-11.0987888041216,1.27155342686384e-28,6.31864241349262e-26,"KCNC3"
95.9227475108131,1.36668825306884,0.123192562034112,11.09391858163,1.34274104716495e-28,6.50558037351417e-26,"MB21D1"
659.431885273056,2.03564840914205,0.184104376420485,11.0570343232511,2.02688853379357e-28,9.58075604510231e-26,"FAR2P2"
552.87837569444,2.82757696585874,0.255821861908944,11.0529137140952,2.12213355421067e-28,9.79213054300069e-26,"PLEKHO1"
1437.95521264146,1.48515987433764,0.134930598242317,11.0068427301456,3.54199541984024e-28,1.59636909852334e-25,"TCL1A"
103.746582219674,2.10237685127295,0.191613140425545,10.971986819922,5.2114472423992e-28,2.29540562631128e-25,"GAS8"
177.391833265073,1.58054758653559,0.144210483913948,10.9600047350144,5.94962557759241e-28,2.56230541541647e-25,"CD180"
1510.1211807951,1.264100198209,0.115782656167398,10.9178718130406,9.46885064980054e-28,3.98926794767684e-25,"STS"
4674.50346960942,-0.38522317268989,0.0353138422160688,-10.9085601711898,1.04904673582321e-27,4.32564377452207e-25,"FOXK2"
50.4209218686954,2.30294193871313,0.211721196830767,10.8772384304719,1.47978282225016e-27,5.97462314483501e-25,"TP73"
328.231988376337,-0.886826211360903,0.0815506142815224,-10.8745497403548,1.52406399253076e-27,6.0278286071931e-25,"SEPN1"
4344.20953488019,-0.756731930515389,0.0697913715979483,-10.8427720101955,2.15830431450822e-27,8.36558752303386e-25,"SLC25A23"
53.2066435010415,-1.52861000413565,0.141240636288327,-10.8227351866013,2.68638450611545e-27,1.00119484093303e-24,"FRMPD3"
4813.27159087828,0.86976275426741,0.0803636752238916,10.8228344689845,2.68347529090558e-27,1.00119484093303e-24,"SAE1"
36.1602210187986,2.2605066375067,0.209852490308064,10.7718837845968,4.67339914687193e-27,1.67723102715515e-24,"CD1C"
421.191157972274,1.87116866319736,0.173689017711931,10.7730971586284,4.61219942345799e-27,1.67723102715515e-24,"DERL3"
86.3408010954494,1.99730709447762,0.185605450436815,10.7610368649037,5.25752509713837e-27,1.85256066150076e-24,"CNTLN"
32.620445567126,2.5464672955939,0.236941227766634,10.7472528930337,6.10529058735527e-27,2.11286663540974e-24,"C19orf57"
104.444468069218,1.91006377713904,0.178114870553658,10.7237748942676,7.87233434920541e-27,2.67659367872984e-24,"SCML4"
46.5762595376716,1.73339372181515,0.162484741795827,10.6680399812142,1.43623991819207e-26,4.79902234733834e-24,"TLR2"
209.360712463049,0.690292481660107,0.0647429596027953,10.6620470533804,1.5318801190033e-26,5.03183672987865e-24,"OAS1"
1057.62151911366,0.864557850807194,0.081377704327632,10.6240137633574,2.30434931509925e-26,7.44304828777058e-24,"R3HCC1"
65.4878691915874,2.91534458296513,0.276009169093305,10.562491791639,4.44697743081236e-26,1.41282660014989e-23,"GIPC2"
308.364593362678,1.06592185807663,0.100982906601544,10.5554681871312,4.7924438718925e-26,1.49802519737543e-23,"JAKMIP2"
10890.6503720995,-0.874658536715086,0.0831012811704066,-10.5252112169188,6.61130012194993e-26,2.03376184703793e-23,"DTX1"
321.228162676351,-1.62617044626557,0.15454283680527,-10.5224575909306,6.80744019118153e-26,2.06137798289216e-23,"STEAP3"
263.913248566327,1.39843987844637,0.133877132395105,10.4456963891281,1.53325909971728e-25,4.5714709773109e-23,"LOC284561"
915.507354876808,-1.30824244566706,0.125442179741686,-10.429047457251,1.82710691820374e-25,5.36505031436188e-23,"FNBP1"
319.549886606971,5.25814356367999,0.506681942179167,10.3776020535989,3.13551901067069e-25,9.06960573534299e-23,"PLXNB1"
92.7450916846058,-1.29740736062773,0.125211424297892,-10.3617331078436,3.70192704354166e-25,1.05504920740937e-22,"CNKSR1"
128.703903054777,-1.42134729942914,0.1378309597287,-10.3122498909306,6.20318231781603e-25,1.7422851205692e-22,"LOC646762"
44.7687681668343,1.68463664566864,0.163725131775266,10.2894200016954,7.86486790387559e-25,2.1467766193959e-22,"SEPW1"
252.576405147402,-1.12570304686288,0.109397428368782,-10.290032075234,7.81503358935364e-25,2.1467766193959e-22,"TFCP2L1"
24.9842416801268,4.97826338362724,0.48555610938198,10.2527046564477,1.15077557295336e-24,3.09750425053281e-22,"ABCB1"
1292.08865188923,2.4680559498577,0.240795537911639,10.2495917127973,1.18844474882021e-24,3.15507660714188e-22,"IL7R"
90.4981834406558,-1.29390303367427,0.127473548315337,-10.1503649249135,3.30126656407539e-24,8.64574946105149e-22,"DISP2"
106.696363062499,1.85220613301218,0.182851319758317,10.1295748669483,4.08421278868957e-24,1.05536058459739e-21,"AEBP1"
